"","distance","i","spectrumID"
"1",16.4352891214513,448,"spec-6713-56402-0294.fits"
"1",18.3169901383321,589,"spec-5436-56015-0440.fits"
"1",18.3605058503771,1768,"spec-6489-56329-0866.fits"
"1",18.3784551257321,991,"spec-6303-56539-0090.fits"
"1",18.4027089479786,185,"spec-6452-56366-0270.fits"
"1",18.4085272790275,1257,"spec-6052-56092-0294.fits"
"1",18.4113191338176,366,"spec-5302-55896-0513.fits"
"1",18.7567924741296,1126,"spec-4058-55358-0100.fits"
"1",18.7935795795136,2354,"spec-4690-55653-0140.fits"
"1",18.884066948762,1526,"spec-5783-56017-0903.fits"
"1",18.8853880004982,29,"spec-3804-55267-0936.fits"
"1",19.0023486157277,754,"spec-6184-56267-0854.fits"
"1",19.0876604893618,72,"spec-3679-55209-0232.fits"
"1",19.0934933070428,1080,"spec-5172-56071-0705.fits"
"1",19.1916850566231,1164,"spec-4221-55443-0556.fits"
"1",19.2437605597862,176,"spec-4783-55652-0180.fits"
"1",19.2663606382772,356,"spec-3866-55623-0134.fits"
"1",19.2937850669422,535,"spec-5461-56018-0838.fits"
"1",19.3453936421789,878,"spec-4837-55707-0560.fits"
"1",19.3822634536209,856,"spec-5320-55999-0680.fits"
"1",19.4888121989005,359,"spec-6673-56419-0318.fits"
"1",19.5784219072215,405,"spec-4452-55536-0019.fits"
"1",19.6302488876432,1145,"spec-5768-56017-0792.fits"
"1",19.6629729918374,757,"spec-4766-55677-0472.fits"
"1",19.6923491656789,1440,"spec-4211-55446-0538.fits"
"1",19.7010631644488,175,"spec-5361-55973-0680.fits"
"1",19.7026968309039,399,"spec-3757-55508-0408.fits"
"1",19.7254634015832,149,"spec-6164-56181-0678.fits"
"1",19.7270692800033,980,"spec-4375-55889-0334.fits"
"1",19.7411939294804,1186,"spec-3586-55181-0634.fits"
"1",19.7450890545384,682,"spec-6411-56331-0302.fits"
"1",19.7521382486552,220,"spec-4227-55481-0937.fits"
"1",19.7685816241541,354,"spec-6873-56541-0624.fits"
"1",19.7712242825019,1166,"spec-6055-56102-0884.fits"
"1",19.7800204920384,462,"spec-6838-56429-0064.fits"
"1",19.7854428652613,2071,"spec-4860-55691-0180.fits"
"1",19.7894997917528,238,"spec-4979-56045-0796.fits"
"1",19.8018078209376,1193,"spec-5771-56011-0362.fits"
"2",19.8061158492897,690,"spec-4227-55481-0027.fits"
"1",19.8100124281737,729,"spec-4834-55685-0798.fits"
"1",19.846786235702,64,"spec-7257-56658-0345.fits"
"1",19.8624165609322,896,"spec-6663-56338-0946.fits"
"1",19.888837783337,980,"spec-7081-56684-0350.fits"
"1",19.889567013925,386,"spec-6664-56383-0936.fits"
"1",19.9400804353139,858,"spec-4889-55709-0922.fits"
"1",19.9603463518344,1139,"spec-4538-55860-0742.fits"
"1",19.9654656552905,1103,"spec-3769-55240-0558.fits"
"1",19.9778002533415,1086,"spec-5165-56063-0877.fits"
"1",19.9851581000102,296,"spec-5368-56001-0828.fits"
"1",19.9860128995467,1807,"spec-4242-55476-0852.fits"
"1",19.9953143318069,104,"spec-3793-55214-0542.fits"
"1",20.0653733566122,1070,"spec-5418-56037-0940.fits"
"1",20.0939443210425,277,"spec-6720-56390-0594.fits"
"1",20.1199523574744,541,"spec-5306-55926-0962.fits"
"1",20.1323739157923,256,"spec-4444-55538-0900.fits"
"1",20.1337290441841,337,"spec-6836-56443-0752.fits"
"1",20.1480796939184,252,"spec-5475-56011-0394.fits"
"1",20.1586537404588,1899,"spec-5164-56067-0894.fits"
"1",20.1858231575446,666,"spec-7400-57134-0696.fits"
"1",20.2180813131293,172,"spec-3825-55533-0358.fits"
"1",20.2469762087417,750,"spec-4192-55469-0350.fits"
"1",20.2494962722299,1111,"spec-4839-55703-0086.fits"
"1",20.2523284077853,344,"spec-7325-56717-0292.fits"
"1",20.2592696663926,1038,"spec-5420-56009-0709.fits"
"1",20.2747636643238,454,"spec-4864-55680-0360.fits"
"1",20.2794592844692,443,"spec-6409-56306-0204.fits"
"1",20.2848016923947,666,"spec-7256-56658-0397.fits"
"1",20.2978331708135,766,"spec-5407-55926-0447.fits"
"1",20.3090704761913,206,"spec-6049-56091-0184.fits"
"1",20.309123944121,894,"spec-5481-55983-0452.fits"
"1",20.3110810958725,513,"spec-5957-56210-0880.fits"
"1",20.3115598407689,871,"spec-6665-56390-0442.fits"
"1",20.3147139672835,1044,"spec-7421-57159-0614.fits"
"1",20.3197093323602,69,"spec-7254-56625-0443.fits"
"1",20.3323788571816,1323,"spec-5772-56003-0842.fits"
"1",20.3363733450613,1136,"spec-4006-55328-0784.fits"
"1",20.3409326567399,926,"spec-7449-56740-0158.fits"
"1",20.3494621224057,653,"spec-6446-56363-0156.fits"
"1",20.3510526965219,201,"spec-6746-56386-0120.fits"
"1",20.3597887124973,70,"spec-7253-56598-0446.fits"
"1",20.3714480027005,563,"spec-6014-56072-0776.fits"
"1",20.372644303564,1563,"spec-7155-56629-0104.fits"
"1",20.3831266350032,758,"spec-6795-56425-0654.fits"
"1",20.399261347134,1037,"spec-5985-56089-0260.fits"
"1",20.4001771040444,248,"spec-6821-56396-0100.fits"
"1",20.431693509724,60,"spec-6783-56284-0978.fits"
"1",20.4382566127758,834,"spec-5466-56033-0088.fits"
"1",20.4384139289213,224,"spec-4238-55455-0010.fits"
"1",20.4446637201204,604,"spec-6470-56334-0318.fits"
"2",20.4513678913529,69,"spec-7254-56625-0488.fits"
"1",20.4593016210384,307,"spec-3942-55338-0411.fits"
"1",20.4623754020933,165,"spec-7101-56659-0122.fits"
"2",20.4663888695672,71,"spec-7253-56598-0287.fits"
"1",20.4687420344553,799,"spec-4226-55475-0663.fits"
"3",20.4691587882984,69,"spec-7254-56625-0409.fits"
"1",20.4768437342801,1432,"spec-5477-56030-0974.fits"
"1",20.4779142126373,356,"spec-7151-56598-0796.fits"
"1",20.4844654227139,352,"spec-5370-56003-0434.fits"
"1",20.4876493255568,451,"spec-5776-56010-0334.fits"
"1",20.4933348648122,2327,"spec-6388-56309-0582.fits"
